
615634.126667  5394287.278333  0.000000
-15.200000  -1758.476667  -378.810000
2677220.283333  -4275842.005000  -2105449.396667
4172633.946667  -3737844.230000  -9348136.191667
4151161.486667  4559286.746667  3401862.948333
-4453165.893333  18959738.538333  3849819.446667
2684841.983333  6534198.780000  7499985.485000
1470979.093333  11980486.630000  -7151595.890000
13405400.310000  18020285.411667  6840239.903333
1749851.450000  13979889.920000  -502963.758333
-1925515.590000  6970752.245000  4726667.145000
-4228319.160000  -12587079.808333  4577986.260000
-8441.156667  -825642.856667  -8510322.328333
-2738125.873333  5127452.316667  -1236689.673333
10625043.670000  4267557.688333  6248479.063333
6624135.546667  -5133687.950000  -2753742.650000
901085.076667  -6087617.773333  2352355.770000
-713720.456667  -2386697.131667  8183108.293333
1345126.236667  -2982079.888333  -3664905.570000
-8224346.693333  9446838.836667  15068647.345000
918060.756667  -5368743.171667  -3559766.116667
4437973.060000  1291139.803333  -4778291.586667
-935786.210000  7087740.708333  3119335.985000
10891711.666667  18397229.646667  6378231.046667
3959053.990000  -4543472.563333  -1190975.128333
15205113.603333  25586.943333  -216090.838333
1160144.020000  -9012116.263333  -394212.115000
959863.593333  -16197.430000  4734982.205000
253378.470000  -9278383.471667  1577550.420000
8907258.503333  10088654.855000  819784.105000
912265.633333  -6974729.438333  -10330490.200000
-2066975.673333  3007065.015000  5999502.780000
166684.960000  1203738.145000  -5248347.226667
3806525.670000  -1171696.538333  -4307970.716667
2362364.793333  641836.873333  -4249439.723333
-11130425.350000  -9258891.943333  -7449005.586667
-4289016.203333  -6521130.921667  -1234231.563333
-9378265.496667  -4238519.510000  3641669.945000
785496.426667  7705950.235000  11335636.395000
-3981946.880000  15193385.820000  1808446.536667
-156047.506667  8026758.881667  -1567695.883333
-13166817.746667  -9661096.780000  7308477.876667
-1666161.896667  5433936.265000  5975012.156667
1383140.070000  -2994674.550000  -7453482.203333
1876089.393333  -4738955.085000  3193008.190000
5683840.896667  -1372120.008333  -7033591.630000
-1766837.170000  -3616666.666667  -8922950.876667
-5273097.656667  -10632722.271667  6527525.388333
-4658869.943333  -4561943.003333  -7315340.141667
-6984816.196667  852067.688333  11743018.096667
